code,code_name,ipoDate
sh.600367,红星发展,2001-03-20
sh.600368,五洲交通,2000-12-21
sh.600369,西南证券,2001-01-09
sh.600370,三房巷,2003-03-06
sh.600371,万向德农,2002-09-16
sh.600372,中航电子,2001-07-06
sh.600373,中文传媒,2002-03-04
sh.600375,汉马科技,2003-04-01
sh.600376,首开股份,2001-03-12
sh.600377,宁沪高速,2001-01-16
sh.600378,昊华科技,2001-01-11
sh.600379,宝光股份,2002-01-16
sh.600380,健康元,2001-06-08
sh.600381,青海春天,2001-05-08
sh.600383,金地集团,2001-04-12
sh.600386,北巴传媒,2001-02-16
sh.600388,龙净环保,2000-12-29
sh.600389,江山股份,2001-01-10
sh.600390,五矿资本,2001-01-15
sh.600391,航发科技,2001-12-12
sh.600392,盛和资源,2003-05-29
sh.600395,盘江股份,2001-05-31
sh.600396,金山股份,2001-03-28
sh.600397,安源煤业,2002-07-02
sh.600398,海澜之家,2000-12-28
sh.600399,抚顺特钢,2000-12-29
sh.600400,红豆股份,2001-01-08
sh.600405,动力源,2004-04-01
sh.600406,国电南瑞,2003-10-16
sh.600409,三友化工,2003-06-18
sh.600410,华胜天成,2004-04-27
sh.600415,小商品城,2002-05-09
sh.600416,湘电股份,2002-07-18
sh.600418,江淮汽车,2001-08-24
sh.600419,天润乳业,2001-06-28
sh.600420,国药现代,2004-06-16
sh.600421,华嵘控股,2004-06-07
sh.600422,昆药集团,2000-12-06
sh.600423,柳化股份,2003-07-17
sh.600425,青松建化,2003-07-24
sh.600426,华鲁恒升,2002-06-20
sh.600428,中远海特,2002-04-18
sh.600429,三元股份,2003-09-15
sh.600433,冠豪高新,2003-06-19
sh.600435,北方导航,2003-07-04
sh.600436,片仔癀,2003-06-16
sh.600438,通威股份,2004-03-02
sh.600439,瑞贝卡,2003-07-10
sh.600444,国机通用,2004-02-19
sh.600446,金证股份,2003-12-24
sh.600448,华纺股份,2001-09-03
sh.600449,宁夏建材,2003-08-29
sh.600452,涪陵电力,2004-03-03
sh.600455,博通股份,2004-03-29
